% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0772143	2	2	1	1.26635e-12	0.499891	0
0.0772143	2	5	2	0.00333333	3.94608e+09	0
0.0772143	3	3	1	1.26643e-12	0.499937	0
0.0772143	3	6	2	0.00333333	3.9461e+09	0
0.0782143	1	1	1	1.26635e-12	0.499891	0
0.0782143	1	4	2	0.00333333	3.94598e+09	0
0.0782143	2	2	1	1.26635e-12	0.499891	0
0.0782143	2	5	2	0.00333333	3.94608e+09	0
0.0782143	3	3	1	1.26643e-12	0.499937	0
0.0782143	3	6	2	0.00333333	3.9461e+09	0
0.0792143	1	1	1	1.26635e-12	0.499891	0
0.0792143	1	4	2	0.00333333	3.94598e+09	0
0.0792143	2	2	1	1.26635e-12	0.499891	0
0.0792143	2	5	2	0.00333333	3.94608e+09	0
0.0792143	3	3	1	1.26643e-12	0.499937	0
0.0792143	3	6	2	0.00333333	3.9461e+09	0
0.0802143	1	1	1	1.26635e-12	0.499891	0
0.0802143	1	4	2	0.00333333	3.94598e+09	0
0.0802143	2	2	1	1.26635e-12	0.499891	0
0.0802143	2	5	2	0.00333333	3.94608e+09	0
0.0802143	3	3	1	1.26643e-12	0.499937	0
0.0802143	3	6	2	0.00333333	3.9461e+09	0
0.0812143	1	1	1	1.26635e-12	0.499891	0
0.0812143	1	4	2	0.00333333	3.94598e+09	0
0.0812143	2	2	1	1.26635e-12	0.499891	0
0.0812143	2	5	2	0.00333333	3.94608e+09	0
0.0812143	3	3	1	1.26643e-12	0.499937	0
0.0812143	3	6	2	0.00333333	3.94611e+09	0
0.0822143	1	1	1	1.26635e-12	0.499891	0
0.0822143	1	4	2	0.00333333	3.94598e+09	0
0.0822143	2	2	1	1.26635e-12	0.499891	0
0.0822143	2	5	2	0.00333333	3.94608e+09	0
0.0822143	3	3	1	1.26643e-12	0.499937	0
0.0822143	3	6	2	0.00333333	3.94611e+09	0
0.0832143	1	1	1	1.26635e-12	0.499891	0
0.0832143	1	4	2	0.00333333	3.94598e+09	0
0.0832143	2	2	1	1.26635e-12	0.499891	0
